slug,start,end,all_day,title,title_es,kind,language,venue,address,city,region,postal,cost,flyer_paths,flyers,description,website,contact_email,thumbs
monthly-service-study-and-sharing-session-2,2026-03-19 18:00:00,2026-03-19 19:30:00,,Monthly Service Study and Sharing Session,,Event,English,,,,,,,docs/events/monthly-service-study-and-sharing-session-1.jpg; docs/events/monthly-service-study-and-sharing-session-2.jpg,https://lh3.googleusercontent.com/d/1mMWbh3I9VTGtKl2gptJgkyCu77ryLH4k; https://lh3.googleusercontent.com/d/1Oys71G7e2BUgO5pZVPghIIXH1bojXmMD,"https://us06web.zoom.us/j/85989557002 

 Meeting ID: 859 8955 7002

 Passcode: Panel76",,,https://lh3.googleusercontent.com/d/1iLY54BsinP1_DPeqO99fKm3fY2Q6un6u; https://lh3.googleusercontent.com/d/1MkuEo1qb7jB2O4Rg8eoEtFLsfiBrlS6M
district-6-12-18-pre-conference-agenda-item-bootcamp-in-pers,2026-03-22 08:30:00,2026-03-22 12:30:00,,"District 6,12,18 Pre Conference Agenda Item Bootcamp (in person)",,Convention,English,Norma Hertzog Community Center,1845 Park Avenue,Costa Mesa,CA,92627,,docs/events/district-6-12-18-pre-conference-agenda-item-bootcamp-in-pers-1.jpg; docs/events/district-6-12-18-pre-conference-agenda-item-bootcamp-in-pers-2.jpg,https://lh3.googleusercontent.com/d/1DGxNEjX-vh4UpJWDTYXWVivuH57nL9AD; https://lh3.googleusercontent.com/d/1XxzZmywbo4FpQhptdJMfBXY9FVNapSca,"Bootcamp Pre-Conference. District 6, 12 & 18 at the Norma Herzog Center – Costa Mesa

 (Hybrid) Zoom ID: 886 6439 3306 PC:

 BootCamp26 8:30am-12:30pm",,,https://lh3.googleusercontent.com/d/1ZE_BodI5qHKpixygxb5LiO_uc3tENy-g; https://lh3.googleusercontent.com/d/1cU0H-Hr42z_rA9aJIhnrIGXlqXnLza6k
gsr-school-virtual,2026-03-25 19:00:00,2026-03-25 20:00:00,,GSR School Virtual,,Service School,English,,,,,,,docs/events/gsr-school-virtual-1.jpg,https://lh3.googleusercontent.com/d/1GXpAgRDCu9cM-i7Xk-kP9Z3cSSOQPcXg,GSR School Virtual,,,https://lh3.googleusercontent.com/d/1mVj0Vh0xN6UqcXG6ZVnNo4El1x0SNxSR
interdistrict-meeting-english-and-spanish,2026-03-29 08:00:00,2026-03-29 12:30:00,,Interdistrict Meeting English and Spanish,,Event,Spanish,Intercity Fellowship Hall,5881 Cherry Ave,Long Beach,CA,90805,,docs/events/interdistrict-meeting-english-and-spanish-1.jpg; docs/events/interdistrict-meeting-english-and-spanish-2.jpg; docs/events/interdistrict-meeting-english-and-spanish-3.jpg; docs/events/interdistrict-meeting-english-and-spanish-4.jpg,https://lh3.googleusercontent.com/d/1cWjoTe14AjbdfOzCnltc3nKMb2OXzqA0; https://lh3.googleusercontent.com/d/1upoE-12rTzZ1DETxY2S2N-_cSSMp-Juo; https://lh3.googleusercontent.com/d/1zkB45cukB6SvHFXeCLugDfNPUUZey4NY; https://lh3.googleusercontent.com/d/1yDjwkFNbA5YzJIDPAylai_Jild4p5SCJ,,,,https://lh3.googleusercontent.com/d/1cKtbGvzc4XSMfCHrj3pciDNnRsP8CvPF; https://lh3.googleusercontent.com/d/1lX5YGiXUrJLFNs5m9fvYMGWkkDyP7L13; https://lh3.googleusercontent.com/d/1_wfq21L7hLZTKbOBwwzY5hr0XfJCEDNL; https://lh3.googleusercontent.com/d/1yl-l03EM2PO6IFxUpYkdTIXG9uxb7iCg
gsr-school-virtual-2,2026-04-01 19:00:00,2026-04-01 20:00:00,,GSR School Virtual,,Service School,English,,,,,,,docs/events/gsr-school-virtual-1.jpg,https://lh3.googleusercontent.com/d/1GXpAgRDCu9cM-i7Xk-kP9Z3cSSOQPcXg,GSR School Virtual,,,https://lh3.googleusercontent.com/d/1mVj0Vh0xN6UqcXG6ZVnNo4El1x0SNxSR
gsr-school-virtual-3,2026-04-08 19:00:00,2026-04-08 20:00:00,,GSR School Virtual,,Service School,English,,,,,,,docs/events/gsr-school-virtual-1.jpg,https://lh3.googleusercontent.com/d/1GXpAgRDCu9cM-i7Xk-kP9Z3cSSOQPcXg,GSR School Virtual,,,https://lh3.googleusercontent.com/d/1mVj0Vh0xN6UqcXG6ZVnNo4El1x0SNxSR
preconference-area-service-committee,2026-04-12 09:00:00,2026-04-12 15:00:00,,Preconference Area Service Committee,,Area Committee,English,Crown Valley Community Center,29751 Crown Valley Parkway,Laguna Niguel,CA,92677,,docs/events/preconference-area-service-committee-1.jpg; docs/events/preconference-area-service-committee-2.jpg,https://lh3.googleusercontent.com/d/1nrIowr4E17E95HvtCTjKw04Ma7cNcrZi; https://lh3.googleusercontent.com/d/1wTbo2t2SHsPIdoVEM4XKAERQk58JPttv,"MSCA 09 Preconference – Come get caught up on all the General Service Conference Agenda Items. Will be in person and online – Hybrid!

 Meeting ID: 896 6166 6203 Passcode: Panel76 

 https://us06web.zoom.us/j/89661666203",https://us06web.zoom.us/j/89661666203?pwd=WQAQbswqxDwlCmbiMI852nxafbUJBA.1,,https://lh3.googleusercontent.com/d/1KbENSVxov2UdWBUafeD10ZP08Lf3p59R; https://lh3.googleusercontent.com/d/1X39-xDw7s7k8Os3ilLxeswV7GuXP67YR
gsr-school-virtual-4,2026-04-15 19:00:00,2026-04-15 20:00:00,,GSR School Virtual,,Service School,English,,,,,,,docs/events/gsr-school-virtual-1.jpg,https://lh3.googleusercontent.com/d/1GXpAgRDCu9cM-i7Xk-kP9Z3cSSOQPcXg,GSR School Virtual,,,https://lh3.googleusercontent.com/d/1mVj0Vh0xN6UqcXG6ZVnNo4El1x0SNxSR
monthly-service-study-and-sharing-session-3,2026-04-16 18:00:00,2026-04-16 19:30:00,,Monthly Service Study and Sharing Session,,Event,English,,,,,,,docs/events/monthly-service-study-and-sharing-session-1.jpg; docs/events/monthly-service-study-and-sharing-session-2.jpg,https://lh3.googleusercontent.com/d/1mMWbh3I9VTGtKl2gptJgkyCu77ryLH4k; https://lh3.googleusercontent.com/d/1Oys71G7e2BUgO5pZVPghIIXH1bojXmMD,"https://us06web.zoom.us/j/85989557002 

 Meeting ID: 859 8955 7002

 Passcode: Panel76",,,https://lh3.googleusercontent.com/d/1iLY54BsinP1_DPeqO99fKm3fY2Q6un6u; https://lh3.googleusercontent.com/d/1MkuEo1qb7jB2O4Rg8eoEtFLsfiBrlS6M
37th-inland-empire-a-a-convention,2026-04-17 00:00:00,2026-04-19 23:59:59,yes,37th Inland Empire A.A. Convention,,Convention,English,Soboba Casino Resort Event Center,22777 Soboba Rd,San Jacinto,California,92583,,docs/events/37th-inland-empire-a-a-convention-1.jpg,https://lh3.googleusercontent.com/d/1N3CxnyVRq26LQxZwqPQj1E2ilDlLUDgv,"37th Inland Empire A.A. Convention on April 17th-19@ Soboba Casino in San Jacinto,CA",,,https://lh3.googleusercontent.com/d/1aXuBeHPNzZmq4AbIMXpOHWRY5wWG_neg
d09-gsr-school,2026-04-19 15:00:00,2026-04-19 16:00:00,,D09 GSR School,,Service School,English,,,,,,,docs/events/d09-gsr-school-1.jpg,https://lh3.googleusercontent.com/d/1_gRbZo5rsa4rtEwSc2aGJxroJ7EVJol3,virtual only ID: 928-8170-4093 PC:634401 3PM PDT,,,https://lh3.googleusercontent.com/d/1KLBaYBaC-7FOyDPqMJsBmfSddJvU4Kqj
41st-orange-county-a-a-convention,2026-05-01 00:00:00,2026-05-03 23:59:59,yes,41st Orange County A.A. Convention,,Convention,English,Hilton Orange County,3050 Bristol Strett,Costa Mesa,CA,92626,,,,"41st Orange County A.A. Convention On May 1st-3rd Hilton Orange County, Costa Mesa, CA",,,
gsr-school-virtual-5,2026-05-06 19:00:00,2026-05-06 20:00:00,,GSR School Virtual,,Service School,English,,,,,,,docs/events/gsr-school-virtual-1.jpg,https://lh3.googleusercontent.com/d/1GXpAgRDCu9cM-i7Xk-kP9Z3cSSOQPcXg,GSR School Virtual,,,https://lh3.googleusercontent.com/d/1mVj0Vh0xN6UqcXG6ZVnNo4El1x0SNxSR
gsr-school-virtual-6,2026-05-13 19:00:00,2026-05-13 20:00:00,,GSR School Virtual,,Service School,English,,,,,,,docs/events/gsr-school-virtual-1.jpg,https://lh3.googleusercontent.com/d/1GXpAgRDCu9cM-i7Xk-kP9Z3cSSOQPcXg,GSR School Virtual,,,https://lh3.googleusercontent.com/d/1mVj0Vh0xN6UqcXG6ZVnNo4El1x0SNxSR
delegate-shareback-session-and-asa,2026-05-17 08:00:00,2026-05-17 15:00:00,,Delegate Shareback Session and ASA,,Event,English,Jurupa Community Center,4810 Pedley Road,Jurupa Valley,CA,92509,,docs/events/delegate-shareback-session-and-asa-1.jpg; docs/events/delegate-shareback-session-and-asa-2.jpg,https://lh3.googleusercontent.com/d/1Woib67-wxOkcXcRWJbl5_LjK_WB97FAN; https://lh3.googleusercontent.com/d/1f_fhyETxaahmGV4nAHFbhxFY_Sn3kPjy,,,,https://lh3.googleusercontent.com/d/19B9szZzYZdpJNUC9b58fDVnSrYNjLUxK; https://lh3.googleusercontent.com/d/1ba8Gk4_0zpQtDXNJig-dU-xeHNjA6Rxv
d09-gsr-school-2,2026-05-17 15:00:00,2026-05-17 16:00:00,,D09 GSR School,,Service School,English,,,,,,,docs/events/d09-gsr-school-1.jpg,https://lh3.googleusercontent.com/d/1_gRbZo5rsa4rtEwSc2aGJxroJ7EVJol3,virtual only ID: 928-8170-4093 PC:634401 3PM PDT,,,https://lh3.googleusercontent.com/d/1KLBaYBaC-7FOyDPqMJsBmfSddJvU4Kqj
gsr-school-virtual-7,2026-05-20 19:00:00,2026-05-20 20:00:00,,GSR School Virtual,,Service School,English,,,,,,,docs/events/gsr-school-virtual-1.jpg,https://lh3.googleusercontent.com/d/1GXpAgRDCu9cM-i7Xk-kP9Z3cSSOQPcXg,GSR School Virtual,,,https://lh3.googleusercontent.com/d/1mVj0Vh0xN6UqcXG6ZVnNo4El1x0SNxSR
monthly-service-study-and-sharing-session-4,2026-05-21 18:00:00,2026-05-21 19:30:00,,Monthly Service Study and Sharing Session,,Event,English,,,,,,,docs/events/monthly-service-study-and-sharing-session-1.jpg; docs/events/monthly-service-study-and-sharing-session-2.jpg,https://lh3.googleusercontent.com/d/1mMWbh3I9VTGtKl2gptJgkyCu77ryLH4k; https://lh3.googleusercontent.com/d/1Oys71G7e2BUgO5pZVPghIIXH1bojXmMD,"https://us06web.zoom.us/j/85989557002 

 Meeting ID: 859 8955 7002

 Passcode: Panel76",,,https://lh3.googleusercontent.com/d/1iLY54BsinP1_DPeqO99fKm3fY2Q6un6u; https://lh3.googleusercontent.com/d/1MkuEo1qb7jB2O4Rg8eoEtFLsfiBrlS6M
gsr-school-virtual-8,2026-05-27 19:00:00,2026-05-27 20:00:00,,GSR School Virtual,,Service School,English,,,,,,,docs/events/gsr-school-virtual-1.jpg,https://lh3.googleusercontent.com/d/1GXpAgRDCu9cM-i7Xk-kP9Z3cSSOQPcXg,GSR School Virtual,,,https://lh3.googleusercontent.com/d/1mVj0Vh0xN6UqcXG6ZVnNo4El1x0SNxSR
journey-back-in-aa-time,2026-05-30 13:30:00,2026-05-30 15:30:00,,Journey Back in AA Time,,Event,English,Southbay Alano Club,702 11th Pl,Hermosa Beach,CA,90254,,docs/events/journey-back-in-aa-time-1.jpg,https://lh3.googleusercontent.com/d/1Ownim0IfnQTs2zWFaNiCJbX-yQE7aWUp,,,,https://lh3.googleusercontent.com/d/12cl-Qg1nHrwJOd4u_HFtWJvEhfvMUmBO
gsr-school-virtual-9,2026-06-03 19:00:00,2026-06-03 20:00:00,,GSR School Virtual,,Service School,English,,,,,,,docs/events/gsr-school-virtual-1.jpg,https://lh3.googleusercontent.com/d/1GXpAgRDCu9cM-i7Xk-kP9Z3cSSOQPcXg,GSR School Virtual,,,https://lh3.googleusercontent.com/d/1mVj0Vh0xN6UqcXG6ZVnNo4El1x0SNxSR
sunshine-of-the-spirit-high-desert-convention,2026-06-05 00:00:00,2026-06-07 23:59:59,yes,Sunshine of the Spirit – High desert convention,,Convention,English,Marriott Courtyard – Hesperia,9619 Mariposa Road,Hesperia,CA,92345,,docs/events/sunshine-of-the-spirit-high-desert-convention-1.jpg,https://lh3.googleusercontent.com/d/1CpU7ikcthZ_ak7-d5f61ZmZCwvPG84iz,,,,https://lh3.googleusercontent.com/d/174oqyVrw1qOrw5f29qwUBZNeQIhS17zT
gsr-school-virtual-10,2026-06-10 19:00:00,2026-06-10 20:00:00,,GSR School Virtual,,Service School,English,,,,,,,docs/events/gsr-school-virtual-1.jpg,https://lh3.googleusercontent.com/d/1GXpAgRDCu9cM-i7Xk-kP9Z3cSSOQPcXg,GSR School Virtual,,,https://lh3.googleusercontent.com/d/1mVj0Vh0xN6UqcXG6ZVnNo4El1x0SNxSR
area-service-committee-meeting,2026-06-14 08:00:00,2026-06-14 15:00:00,,Area Service Committee Meeting,,Area Committee,English,,,,,,,docs/events/area-service-committee-meeting-1.jpg; docs/events/area-service-committee-meeting-2.jpg,https://lh3.googleusercontent.com/d/1tb7KH7Q8RgmFeQ-gKkoqdpEaaQwiyOZk; https://lh3.googleusercontent.com/d/1EFxqml18fbG9_WM3TEFeeRsBnwV7Q0KB,,,,https://lh3.googleusercontent.com/d/10rlqoUGglfDsNsJBauNtAHskIqAmHRTh; https://lh3.googleusercontent.com/d/1ZtsTX8Wp1eAjxAJQ1SX-G1CPI-lDBrKO
gsr-school-virtual-11,2026-06-17 19:00:00,2026-06-17 20:00:00,,GSR School Virtual,,Service School,English,,,,,,,docs/events/gsr-school-virtual-1.jpg,https://lh3.googleusercontent.com/d/1GXpAgRDCu9cM-i7Xk-kP9Z3cSSOQPcXg,GSR School Virtual,,,https://lh3.googleusercontent.com/d/1mVj0Vh0xN6UqcXG6ZVnNo4El1x0SNxSR
monthly-service-study-and-sharing-session-5,2026-06-18 18:00:00,2026-06-18 19:30:00,,Monthly Service Study and Sharing Session,,Event,English,,,,,,,docs/events/monthly-service-study-and-sharing-session-1.jpg; docs/events/monthly-service-study-and-sharing-session-2.jpg,https://lh3.googleusercontent.com/d/1mMWbh3I9VTGtKl2gptJgkyCu77ryLH4k; https://lh3.googleusercontent.com/d/1Oys71G7e2BUgO5pZVPghIIXH1bojXmMD,"https://us06web.zoom.us/j/85989557002 

 Meeting ID: 859 8955 7002

 Passcode: Panel76",,,https://lh3.googleusercontent.com/d/1iLY54BsinP1_DPeqO99fKm3fY2Q6un6u; https://lh3.googleusercontent.com/d/1MkuEo1qb7jB2O4Rg8eoEtFLsfiBrlS6M
d09-gsr-school-3,2026-06-21 15:00:00,2026-06-21 16:00:00,,D09 GSR School,,Service School,English,,,,,,,docs/events/d09-gsr-school-1.jpg,https://lh3.googleusercontent.com/d/1_gRbZo5rsa4rtEwSc2aGJxroJ7EVJol3,virtual only ID: 928-8170-4093 PC:634401 3PM PDT,,,https://lh3.googleusercontent.com/d/1KLBaYBaC-7FOyDPqMJsBmfSddJvU4Kqj
gsr-school-virtual-12,2026-06-24 19:00:00,2026-06-24 20:00:00,,GSR School Virtual,,Service School,English,,,,,,,docs/events/gsr-school-virtual-1.jpg,https://lh3.googleusercontent.com/d/1GXpAgRDCu9cM-i7Xk-kP9Z3cSSOQPcXg,GSR School Virtual,,,https://lh3.googleusercontent.com/d/1mVj0Vh0xN6UqcXG6ZVnNo4El1x0SNxSR
spanish-interdistrict-meeting,2026-06-28 08:00:00,2026-06-28 12:00:00,,SPANISH INTERDISTRICT MEETING,,Event,Spanish,"1117 W 17th St, Santa Ana, CA 92706",1117 W 17th St,Santa Ana,CA,92706,,docs/events/spanish-interdistrict-meeting-1.jpg; docs/events/spanish-interdistrict-meeting-2.jpg,https://lh3.googleusercontent.com/d/115Rrjn3bLp9BknUv8kADRpGG8I4bAgXt; https://lh3.googleusercontent.com/d/1u5opKp9eKcxWcQPtm66ONhoobVs0Gwdb,"Date: Sunday, June 28, 2026

 Time: 8:00 AM – 12:00 PM

 Host: District 24

 Location: 1117 W 17th St, Santa Ana, CA 92706",,,https://lh3.googleusercontent.com/d/1DNSLhRNd_lEunlKR029Y0Zm9weQFl1Xt; https://lh3.googleusercontent.com/d/1T4ywrNylzZlYXRhE5-6dCGIi6mgzPP25
4-areas-dcm-sharing-session,2026-07-11 09:00:00,2026-07-11 14:30:00,,4 Areas DCM Sharing Session,,Event,English,Highland Park Senior Center,6152 N Figueroa St,Los Angeles,CA,90042,,docs/events/4-areas-dcm-sharing-session-1.jpg; docs/events/4-areas-dcm-sharing-session-2.jpg,https://lh3.googleusercontent.com/d/1ecM904UW-Jm1_xs9JVJCiZPuImiy2AJk; https://lh3.googleusercontent.com/d/1QsmEFS4XvUjetEZDvNQq4iNVCXWYhvI7,,,,https://lh3.googleusercontent.com/d/1fet2NkYcrYtyDpba5Z8GOaEuIKTikOu4; https://lh3.googleusercontent.com/d/1yq6zLfQLoanh3a1MHA4nEDVnbrIBTrUu
foro-la-fortaleza-es-la-vida-servidor-in-spanish-english,2026-07-12 00:00:00,2026-07-12 23:59:59,yes,Foro La Fortaleza Es La Vida Servidor in Spanish & English,,Forum,Spanish,Thousand Palms Community Center,31189 Robert Road,Thousand Palms,CA,92276,,docs/events/foro-la-fortaleza-es-la-vida-servidor-in-spanish-english-1.jpg; docs/events/foro-la-fortaleza-es-la-vida-servidor-in-spanish-english-2.jpg; docs/events/foro-la-fortaleza-es-la-vida-servidor-in-spanish-english-3.jpg; docs/events/foro-la-fortaleza-es-la-vida-servidor-in-spanish-english-4.jpg,https://lh3.googleusercontent.com/d/1FdXR9a_nloPO_OSWZPrKlY4KCdgA2dYP; https://lh3.googleusercontent.com/d/1R75B3d6K1bxKiyfbg7kJghz4SgGt1tJx; https://lh3.googleusercontent.com/d/1V0O_D-YpxCrqCKbb-FMJw9bh1nc8P_Df; https://lh3.googleusercontent.com/d/1Wl0ONnXQpX2Kd0DEm_uERHcRK-ECibGO,"The Life of the Servant is Strength, 31189 Robert Rd. Thousand Palms, CA 92276

 SP_35 Foro 

 EN_35 Forum",,,https://lh3.googleusercontent.com/d/11lRo3x3cgbGglKOGAs1ORynyNHqFpOeH; https://lh3.googleusercontent.com/d/1u8YJx4Wvj1WqdMaO1WR-p-u2gGWHeXn1; https://lh3.googleusercontent.com/d/11DgqZKgIIYc0oZwGnm_WYUo2myYEcriD; https://lh3.googleusercontent.com/d/1Ps_-vNC1u-eiSFRiRugOc3VQNSX8zQeH
sponsorship-workshop,2026-08-07 18:00:00,2026-08-07 21:00:00,,Sponsorship Workshop,,Workshop,English,Garden Grove Alano Club,9845 Belfast Drive,Garden Grove,CA,92844,,docs/events/sponsorship-workshop-1.jpg,https://lh3.googleusercontent.com/d/1A16lvUCvgLM6ilTPQ6sWB5xA9Mg1Ci1B,,,,https://lh3.googleusercontent.com/d/17S6Sf_GCo7WEcG1h_HhXT1Bx4pTkzomp
area-service-committee-meeting-2,2026-08-09 08:00:00,2026-08-09 15:00:00,,Area Service Committee Meeting,,Area Committee,English,Crown Valley Community Center,29751 Crown Valley Parkway,Laguna Niguel,CA,92677,,docs/events/area-service-committee-meeting-1.jpg; docs/events/area-service-committee-meeting-2.jpg,https://lh3.googleusercontent.com/d/1tb7KH7Q8RgmFeQ-gKkoqdpEaaQwiyOZk; https://lh3.googleusercontent.com/d/1EFxqml18fbG9_WM3TEFeeRsBnwV7Q0KB,"Area Service Committee Meeting

 Date: August 9th, 2026

 Time: 8am – 3pm pt

 Location:

 CROWN VALLEY COMMUNITY CENTER

 29751 CROWN VALLEY PARKWAY

 LAGUNA NIGUEL, CA 92677

 Zoom: Zoom: 896 6166 6203 | Password: Panel76",,,https://lh3.googleusercontent.com/d/10rlqoUGglfDsNsJBauNtAHskIqAmHRTh; https://lh3.googleusercontent.com/d/1ZtsTX8Wp1eAjxAJQ1SX-G1CPI-lDBrKO
secretary-treasurer-workshop,2026-08-16 13:00:00,2026-08-16 15:00:00,,Secretary & Treasurer Workshop,,Workshop,English,"120 S. Harvard St., Hemet, CA",120 S. Harvard St.,Hemet,CA,92543,,docs/events/secretary-treasurer-workshop-1.jpg,https://lh3.googleusercontent.com/d/1E91vtZdvlC30JOBn6IHsyAv7L28NO-4s,"District 14 Secretary & Treasurer Workshop 
 Join District 14 for an informative Secretary & Treasurer Workshop !

 Whether you are a current trusted servant or just interested in learning more about these important service positions, this workshop will provide valuable insights and guidance.

 📅 Event Details 
 Date: Sunday, August 16, 2026

 Time: 1:00 PM – 3:00 PM

 Location: 120 S. Harvard St., Hemet, CA 

 🎤 Featured Speakers 
 Craig S. – Treasurer (7am Meeting at Arid Club) 

 Teddi P. – Secretary (District 17 Secretary) 

 📌 What to Expect 
 Q&A – Ask It Basket: Bring your questions for our experienced speakers!

 Refreshments: Snacks will be provided during the event.",,,https://lh3.googleusercontent.com/d/1l98DlV8HVbrD8_397UUT_PLcQUr5cff8
d09-gsr-school-4,2026-08-16 15:00:00,2026-08-16 16:00:00,,D09 GSR School,,Service School,English,,,,,,,docs/events/d09-gsr-school-1.jpg,https://lh3.googleusercontent.com/d/1_gRbZo5rsa4rtEwSc2aGJxroJ7EVJol3,virtual only ID: 928-8170-4093 PC:634401 3PM PDT,,,https://lh3.googleusercontent.com/d/1KLBaYBaC-7FOyDPqMJsBmfSddJvU4Kqj
