district,display_name,language,type,meeting_pattern,rrule_byday,week_of_month,day_of_week,start_time,end_time,format,location_name,address,city,zoom_id,zoom_passcode,zoom_url,website,email,covers_cities,covers_districts,notes
14,District 14,English,District,3rd Wednesday,3WE,3,Wednesday,19:00,20:00,Hybrid,,120 South Harvard St.,Hemet,896 007 6690,district14,https://zoom.us/j/8960076690,,d14dcmc@msca09aa.org,Anza; Aguanga; Banning; Beaumont; Cabazon; Hemet; Homeland; Juniper Flats; Idyllwild; Romoland; San Jacinto; Winchester,,
15,District 15,English,District,1st Tuesday,1TU,1,Tuesday,19:00,20:00,Hybrid,Grace Lutheran Church,6550 Fairmont Blvd.,Yorba Linda,857 4032 3324,sober,https://zoom.us/j/85740323324,https://www.aadistrict15.com/,d15dcmc@msca09aa.org,Anaheim; Anaheim Hills; Brea; La Habra; Placentia; Yorba Linda,,
17,District 17,English,District,2nd Tuesday,2TU,2,Tuesday,18:30,19:30,In person,,41743 Enterprise Cir. N. #102,Temecula,,,,https://aadistrict17.info/,d17dcmc@msca09aa.org,Canyon Lake; Lake Elsinore; Menifee; Murrieta; Perris; Sun City; Temecula; Wildomar,,
18,District 18,English,District,2nd Tuesday,2TU,2,Tuesday,19:00,20:00,Hybrid,,183 East Bay Street,Costa Mesa,817 8125 1084,District18,https://zoom.us/j/81781251084,,d18dcmc@msca09aa.org,Costa Mesa; Irvine,,GSR School meets at 6:30 PM before the district meeting.
19,District 19,English,District,4th Sunday,4SU,4,Sunday,17:00,18:00,Hybrid,,15885 Main St. Ste. 310,Hesperia,827 9127 7692,768560,https://zoom.us/j/82791277692,,d19dcmc@msca09aa.org,Adelanto; Apple Valley; Barstow; Hesperia; Lucerne Valley; Newberry Springs; Phelan; Trona; Victorville; Wrightwood; Yermo,,
30,District 30,English,District,3rd Friday,3FR,3,Friday,18:00,19:00,Hybrid,,57617 Yucca Trail,Yucca Valley,812 5888 6900,Sober2024,https://zoom.us/j/81258886900,https://www.district30area09.org/,d30dcmc@msca09aa.org,Joshua Tree; Landers; Morongo Valley; Twentynine Palms; Wonder Valley; Yucca Valley,,
20,Distrito 20,Spanish,District,Every Monday,MO,,Monday,19:30,20:30,In person,,"205 W. 1st St., #206",Tustin,,,,,d20dcmc@msca09aa.org,,5; 6; 7; 10; 12; 15; 18,
21,Distrito 21,Spanish,District,"1st, 2nd & 4th Wednesday","1WE,2WE,4WE","1,2,4",Wednesday,20:00,21:00,In person,,"8111 Rosecrans Ave, #H",Paramount,,,,,d21dcmc@msca09aa.org,,1; 2; 3; 4,
22,Distrito 22,Spanish,District,Every Tuesday,TU,,Tuesday,19:00,20:00,In person,,"34116 Date Palm Dr., Suite #17",Cathedral City,,,,,d22dcmc@msca09aa.org,,9; 30; 31,
23,Distrito 23,Spanish,District,Every Friday,FR,,Friday,19:00,20:00,In person,,10838 Hole Ave,Riverside,,,,,d23dcmc@msca09aa.org,,8; 14; 17; 19,
24,Distrito 24,Spanish,District,Every Tuesday,TU,,Tuesday,20:00,21:00,In person,,"12019 Garden Grove Blvd., #206",Garden Grove,,,,,d24dcmc@msca09aa.org,,5; 7; 10; 15,
25,Distrito 25,Spanish,District,Every Monday,MO,,Monday,19:00,20:00,In person,,"222 E Highland Ave, Ste #7",San Bernardino,,,,,d25dcmc@msca09aa.org,,8; 19,
