collection,category,title,meeting_type,date,year,language,format,size_kb,source,publish,drive_path,url
Current,Minutes,Mar 2018 ASC Minutes,ASC,2018-03-01,2018,English,PDF,164,MSCA09 website,yes,docs/minutes/2018/mar-2018-asc-minutes-en.pdf,https://drive.google.com/file/d/1LodQjPseGYps09ADE8zUnHuAWSDUJtzC/view
Current,Minutes,Mar 2018 ASC Minutes,ASC,2018-03-01,2018,Spanish,PDF,140,MSCA09 website,yes,docs/minutes/2018/mar-2018-asc-minutes-es.pdf,https://drive.google.com/file/d/11ZhmCRd_F1wR9saO7rAONaU_efpLkx3_/view
Current,Minutes,May 2018 ASA Minutes,ASA,2018-05-01,2018,English,PDF,203,MSCA09 website,yes,docs/minutes/2018/may-2018-asa-minutes-en.pdf,https://drive.google.com/file/d/1xY6mCBGaL_MEPXKv6hHAtf5Dii7zKOL2/view
Current,Minutes,May 2018 ASA Minutes,ASA,2018-05-01,2018,Spanish,PDF,189,MSCA09 website,yes,docs/minutes/2018/may-2018-asa-minutes-es.pdf,https://drive.google.com/file/d/1h1OZAC1jt5iS0axiDqGds0OegNMPhNdG/view
Current,Minutes,Oct 2018 ASC Minutes,ASC,2018-10-01,2018,English,PDF,209,MSCA09 website,yes,docs/minutes/2018/oct-2018-asc-minutes-en.pdf,https://drive.google.com/file/d/1zndp3Ab4cIGKBJ90WfDkPbqv33_p44yf/view
Current,Minutes,Oct 2018 ASC Minutes,ASC,2018-10-01,2018,Spanish,PDF,202,MSCA09 website,yes,docs/minutes/2018/oct-2018-asc-minutes-es.pdf,https://drive.google.com/file/d/1fbxOSZfQDeXgiWZWokSL-wIA85SwAnGj/view
Current,Minutes,Sep 2018 ASA Minutes,ASA,2018-09-01,2018,English,PDF,275,MSCA09 website,yes,docs/minutes/2018/sep-2018-asa-minutes-en.pdf,https://drive.google.com/file/d/1UfbrTTq6ZqO3mHcQJRF6ECrVFVr0Ui6y/view
Current,Minutes,Sep 2018 ASA Minutes,ASA,2018-09-01,2018,Spanish,PDF,233,MSCA09 website,yes,docs/minutes/2018/sep-2018-asa-minutes-es.pdf,https://drive.google.com/file/d/1DN6BLZOf_j1ps_VROjaJlciVclELc5_8/view
Current,Minutes,Apr 2019 ASA Minutes,ASA,2019-04-01,2019,English,PDF,232,MSCA09 website,yes,docs/minutes/2019/apr-2019-asa-minutes-en.pdf,https://drive.google.com/file/d/1hr7hwEjcjYOzhlvtL720qMjcJRl5-_IB/view
Current,Minutes,Apr 2019 ASA Minutes,ASA,2019-04-01,2019,Spanish,PDF,221,MSCA09 website,yes,docs/minutes/2019/apr-2019-asa-minutes-es.pdf,https://drive.google.com/file/d/1tVbG4JwaoVJ1pfpYIh3yOcmAKEQXswSL/view
Current,Minutes,Aug 2019 ASC Minutes,ASC,2019-08-01,2019,English,PDF,257,MSCA09 website,yes,docs/minutes/2019/aug-2019-asc-minutes-en.pdf,https://drive.google.com/file/d/1c-GpGHp916fD7Hvf8ZkJMNFJbzf_MvJy/view
Current,Minutes,Aug 2019 ASC Minutes,ASC,2019-08-01,2019,Spanish,PDF,238,MSCA09 website,yes,docs/minutes/2019/aug-2019-asc-minutes-es.pdf,https://drive.google.com/file/d/1W4Y4KHq6dqsMyzQHjB-dWFtyl-FHah6P/view
Current,Minutes,Dec 2019 ASC Minutes,ASC,2019-12-01,2019,English,PDF,192,MSCA09 website,yes,docs/minutes/2019/dec-2019-asc-minutes-en.pdf,https://drive.google.com/file/d/1uCQQSDaPnVGaaNhi1YvHkLWZeXHeWafd/view
Current,Minutes,Dec 2019 ASC Minutes,ASC,2019-12-01,2019,Spanish,PDF,197,MSCA09 website,yes,docs/minutes/2019/dec-2019-asc-minutes-es.pdf,https://drive.google.com/file/d/1G2LgRvm40iqZPiRShZYMFB4orppRfizZ/view
Current,Minutes,Feb 2019 ASC Minutes,ASC,2019-02-01,2019,English,PDF,271,MSCA09 website,yes,docs/minutes/2019/feb-2019-asc-minutes-en.pdf,https://drive.google.com/file/d/1Z1jh7LZMB706xeXNWNyi53hlR1zyi7qE/view
Current,Minutes,Feb 2019 ASC Minutes,ASC,2019-02-01,2019,Spanish,PDF,235,MSCA09 website,yes,docs/minutes/2019/feb-2019-asc-minutes-es.pdf,https://drive.google.com/file/d/1gkPZ-AUA_e0H9814jsI5TvFAzrE5eeod/view
Current,Minutes,Jan 2019 ASA Minutes,ASA,2019-01-01,2019,English,PDF,324,MSCA09 website,yes,docs/minutes/2019/jan-2019-asa-minutes-en.pdf,https://drive.google.com/file/d/1epZO31sKp0YZ_cW3aWFa-PXakKQoib_g/view
Current,Minutes,Jan 2019 ASA Minutes,ASA,2019-01-01,2019,Spanish,PDF,324,MSCA09 website,yes,docs/minutes/2019/jan-2019-asa-minutes-es.pdf,https://drive.google.com/file/d/18RoOiehquustdUBvsi-3p4yj1iYxB8FT/view
Current,Minutes,Jun 2019 ASC Minutes,ASC,2019-06-01,2019,English,PDF,179,MSCA09 website,yes,docs/minutes/2019/jun-2019-asc-minutes-en.pdf,https://drive.google.com/file/d/1sBg7mDFl_gwjTXquiHnXkI9XuxMelSLb/view
Current,Minutes,Jun 2019 ASC Minutes,ASC,2019-06-01,2019,Spanish,PDF,188,MSCA09 website,yes,docs/minutes/2019/jun-2019-asc-minutes-es.pdf,https://drive.google.com/file/d/1v3RbHBS05mqDR9nGpoxh7gYGA9qZ1mt9/view
Current,Minutes,Mar 2019 ASC Minutes,ASC,2019-03-01,2019,English,PDF,170,MSCA09 website,yes,docs/minutes/2019/mar-2019-asc-minutes-en.pdf,https://drive.google.com/file/d/1-OApDMsV_jXSKSDK0thRwCaImi15CoB7/view
Current,Minutes,Mar 2019 ASC Minutes,ASC,2019-03-01,2019,Spanish,PDF,208,MSCA09 website,yes,docs/minutes/2019/mar-2019-asc-minutes-es.pdf,https://drive.google.com/file/d/14SvUMyPEFnmah5JnFFIZDVR5DRcKD2oo/view
Current,Minutes,Nov 2019 ASC Minutes,ASC,2019-11-01,2019,English,PDF,256,MSCA09 website,yes,docs/minutes/2019/nov-2019-asc-minutes-en.pdf,https://drive.google.com/file/d/1zGj26aXoUKA6evS4nNoRHsl5arziUoiY/view
Current,Minutes,Nov 2019 ASC Minutes,ASC,2019-11-01,2019,Spanish,PDF,244,MSCA09 website,yes,docs/minutes/2019/nov-2019-asc-minutes-es.pdf,https://drive.google.com/file/d/1yla9wsjs5SsmyKLyGCBxHOIo4ulexifY/view
Current,Minutes,Oct 2019 ASA Minutes,ASA,2019-10-01,2019,English,PDF,91,MSCA09 website,yes,docs/minutes/2019/oct-2019-asa-minutes-en.pdf,https://drive.google.com/file/d/1g8PNMkd0_uYQLDKx61qkftpbHJ7UT3R-/view
Current,Minutes,Oct 2019 ASA Minutes,ASA,2019-10-01,2019,Spanish,PDF,109,MSCA09 website,yes,docs/minutes/2019/oct-2019-asa-minutes-es.pdf,https://drive.google.com/file/d/1ASbY2lxvqBj34fuedp5suKi48Te9o0qh/view
Current,Minutes,Sep 2019 ASA Minutes,ASA,2019-09-01,2019,English,PDF,288,MSCA09 website,yes,docs/minutes/2019/sep-2019-asa-minutes-en.pdf,https://drive.google.com/file/d/188NxrqeJPK0yBE856aOpiAsl_JVCfR_u/view
Current,Minutes,Sep 2019 ASA Minutes,ASA,2019-09-01,2019,Spanish,PDF,246,MSCA09 website,yes,docs/minutes/2019/sep-2019-asa-minutes-es.pdf,https://drive.google.com/file/d/11VjLcY3Om5PN8Ki0R_5ethOsFraUtvXM/view
Current,Minutes,Aug 2020 ASC Minutes,ASC,2020-08-01,2020,English,PDF,146,MSCA09 website,yes,docs/minutes/2020/aug-2020-asc-minutes-en.pdf,https://drive.google.com/file/d/1TPLctWlNzsezI7w5L_GGHyCPyqtkRwjj/view
Current,Minutes,Aug 2020 ASC Minutes,ASC,2020-08-01,2020,Spanish,PDF,343,MSCA09 website,yes,docs/minutes/2020/aug-2020-asc-minutes-es.pdf,https://drive.google.com/file/d/1hz4EP2fPt1cjB1GVKa_hp6O1cWzBj3Lb/view
Current,Minutes,Dec 2020 ASC Minutes,ASC,2020-12-01,2020,English,PDF,459,MSCA09 website,yes,docs/minutes/2020/dec-2020-asc-minutes-en.pdf,https://drive.google.com/file/d/1L9m1iG-FTEULICiVasW8NGDMQG2zlIfj/view
Current,Minutes,Dec 2020 ASC Minutes,ASC,2020-12-01,2020,Spanish,PDF,551,MSCA09 website,yes,docs/minutes/2020/dec-2020-asc-minutes-es.pdf,https://drive.google.com/file/d/177P9SP7WdcugoTPGz33yadUXc-RpTnmn/view
Current,Minutes,Feb 2020 ASC Minutes,ASC,2020-02-01,2020,English,PDF,106,MSCA09 website,yes,docs/minutes/2020/feb-2020-asc-minutes-en.pdf,https://drive.google.com/file/d/1FqhioOmTCfixkOfHLspRkfBkGBIk_GPV/view
Current,Minutes,Jan 2020 ASC Minutes,ASC,2020-01-01,2020,English,PDF,114,MSCA09 website,yes,docs/minutes/2020/jan-2020-asc-minutes-en.pdf,https://drive.google.com/file/d/1P5j7xUBhVixyN23gUFvGVV8unamzgZ5Z/view
Current,Minutes,Jan 2020 ASC Minutes,ASC,2020-01-01,2020,Spanish,PDF,223,MSCA09 website,yes,docs/minutes/2020/jan-2020-asc-minutes-es.pdf,https://drive.google.com/file/d/1sm62V7hqQuwnmEu1uWYL23X4eaHA7WII/view
Current,Minutes,June 2020 ASC Minutes,ASC,2020-06-01,2020,English,PDF,48,MSCA09 website,yes,docs/minutes/2020/june-2020-asc-minutes-en.pdf,https://drive.google.com/file/d/1Th3bXTatnEbqvJGYwHhe3vkFnu0HL-49/view
Current,Minutes,June 2020 ASC Minutes,ASC,2020-06-01,2020,Spanish,PDF,137,MSCA09 website,yes,docs/minutes/2020/june-2020-asc-minutes-es.pdf,https://drive.google.com/file/d/1p2S2O-qQn3Y5HQdGunOOkytJhKt1QkIF/view
Current,Minutes,Mar 2020 ASC Minutes,ASC,2020-03-01,2020,English,PDF,92,MSCA09 website,yes,docs/minutes/2020/mar-2020-asc-minutes-en.pdf,https://drive.google.com/file/d/19FuW_9bflcBylpzvbL7VYW7-pR-yoc9s/view
Current,Minutes,Mar 2020 ASC Minutes,ASC,2020-03-01,2020,Spanish,PDF,91,MSCA09 website,yes,docs/minutes/2020/mar-2020-asc-minutes-es.pdf,https://drive.google.com/file/d/1aIbvWJKrTh6sYietGHmvXn-o4vFJ0e0c/view
Current,Minutes,May 2020 ASA Minutes,ASA,2020-05-01,2020,English,PDF,179,MSCA09 website,yes,docs/minutes/2020/may-2020-asa-minutes-en.pdf,https://drive.google.com/file/d/1fCydBluogXluoEk0Hhh9_Bt-FpBPYh2-/view
Current,Minutes,May 2020 ASA Minutes,ASA,2020-05-01,2020,Spanish,PDF,192,MSCA09 website,yes,docs/minutes/2020/may-2020-asa-minutes-es.pdf,https://drive.google.com/file/d/12y1UvJNc4gr1rVILF1rchD-WSHE5N7Oh/view
Current,Minutes,Oct 2020 ASC Minutes,ASC,2020-10-01,2020,English,PDF,201,MSCA09 website,yes,docs/minutes/2020/oct-2020-asc-minutes-en.pdf,https://drive.google.com/file/d/1ND3PpyAshlLgJHTx0DMio1SmOSZvsGsx/view
Current,Minutes,Oct 2020 ASC Minutes,ASC,2020-10-01,2020,Spanish,PDF,225,MSCA09 website,yes,docs/minutes/2020/oct-2020-asc-minutes-es.pdf,https://drive.google.com/file/d/14O0QAApxQpkITrGnEIuWnCC-pyorMos5/view
Current,Minutes,Sep 2020 ASA Minutes,ASA,2020-09-01,2020,English,PDF,203,MSCA09 website,yes,docs/minutes/2020/sep-2020-asa-minutes-en.pdf,https://drive.google.com/file/d/1yxPTAp8oYrmKqASIri7jTRKKaUFOHjsE/view
Current,Minutes,Sep 2020 ASA Minutes,ASA,2020-09-01,2020,Spanish,PDF,133,MSCA09 website,yes,docs/minutes/2020/sep-2020-asa-minutes-es.pdf,https://drive.google.com/file/d/1OgLZfFt3H5TMsaiHIlqaiw4DwiVS5L0t/view
Current,Minutes,Aug 2021 ASC Minutes,ASC,2021-08-01,2021,English,PDF,273,MSCA09 website,yes,docs/minutes/2021/aug-2021-asc-minutes-en.pdf,https://drive.google.com/file/d/1TVzjDuGhTNWi5KuacnWN6MUuweq0PZjw/view
Current,Minutes,Aug 2021 ASC Minutes,ASC,2021-08-01,2021,Spanish,PDF,278,MSCA09 website,yes,docs/minutes/2021/aug-2021-asc-minutes-es.pdf,https://drive.google.com/file/d/1_ih5zZ89TgC9a3hha09fTjLxRN113Ltp/view
Current,Minutes,Dec 2021 ASC Minutes,ASC,2021-12-01,2021,English,PDF,269,MSCA09 website,yes,docs/minutes/2021/dec-2021-asc-minutes-en.pdf,https://drive.google.com/file/d/199UM5kPOhSrTW-Ci2M-9yPnXiEiz8Sx_/view
Current,Minutes,Dec 2021 ASC Minutes,ASC,2021-12-01,2021,Spanish,PDF,268,MSCA09 website,yes,docs/minutes/2021/dec-2021-asc-minutes-es.pdf,https://drive.google.com/file/d/11FkMm4oYQTEdbR9vN_CA6xivK4QDRQFG/view
Current,Minutes,Feb 2021 ASC Minutes,ASC,2021-02-01,2021,English,PDF,275,MSCA09 website,yes,docs/minutes/2021/feb-2021-asc-minutes-en.pdf,https://drive.google.com/file/d/1s3uBNk1j7OT1ujbfqhgSd-lgZdEpUuRX/view
Current,Minutes,Feb 2021 ASC Minutes,ASC,2021-02-01,2021,Spanish,PDF,298,MSCA09 website,yes,docs/minutes/2021/feb-2021-asc-minutes-es.pdf,https://drive.google.com/file/d/1Xfv7uM3QCz4JAHGp4I-cR-3TyMDJ4LYf/view
Current,Minutes,Feb 2021 ASC Minutes,ASC,2021-02-01,2021,Spanish,PDF,298,MSCA09 website,yes,docs/minutes/2021/feb-2021-asc-minutes-es.pdf,https://drive.google.com/file/d/1Xfv7uM3QCz4JAHGp4I-cR-3TyMDJ4LYf/view
Current,Minutes,Jan 2021 ASA Minutes,ASA,2021-01-01,2021,English,PDF,284,MSCA09 website,yes,docs/minutes/2021/jan-2021-asa-minutes-en.pdf,https://drive.google.com/file/d/1eJLPXb6ughigRDKcc6Yuct6KplS1vDEu/view
Current,Minutes,Jan 2021 ASA Minutes,ASA,2021-01-01,2021,Spanish,PDF,187,MSCA09 website,yes,docs/minutes/2021/jan-2021-asa-minutes-es.pdf,https://drive.google.com/file/d/1dzuOZLc6fsJrf0OG6-kU40_EAyIdOXVz/view
Current,Minutes,Jun 2021 ASC Minutes,ASC,2021-06-01,2021,Spanish,PDF,284,MSCA09 website,yes,docs/minutes/2021/jun-2021-asc-minutes-es.pdf,https://drive.google.com/file/d/1Xzv67EOM99s3guS2qhMmzOztgg28YACJ/view
Current,Minutes,June 2021 ASC Minutes,ASC,2021-06-01,2021,English,PDF,249,MSCA09 website,yes,docs/minutes/2021/june-2021-asc-minutes-en.pdf,https://drive.google.com/file/d/17WR_Ue_WGBijobGKZ476enNjIzZY0mbe/view
Current,Minutes,Mar 2021 ASC Minutes,ASC,2021-03-01,2021,Spanish,PDF,325,MSCA09 website,yes,docs/minutes/2021/mar-2021-asc-minutes-es.pdf,https://drive.google.com/file/d/1qk2-jS8_3CJ2f_OqhuRyeK1hSxR963nx/view
Current,Minutes,Mar 2021 ASC Minutes,ASC,2021-03-01,2021,English,PDF,229,MSCA09 website,yes,docs/minutes/2021/mar-2021-asc-minutes-en.pdf,https://drive.google.com/file/d/1PUs_PXcoBArypC49fMG8nqWthP9mSMt0/view
Current,Minutes,Mar 2021 ASC Minutes,ASC,2021-03-01,2021,Spanish,PDF,246,MSCA09 website,yes,docs/minutes/2021/mar-2021-asc-minutes-es.pdf,https://drive.google.com/file/d/1qk2-jS8_3CJ2f_OqhuRyeK1hSxR963nx/view
Current,Minutes,May 2021 ASA Minutes,ASA,2021-05-01,2021,English,PDF,241,MSCA09 website,yes,docs/minutes/2021/may-2021-asa-minutes-en.pdf,https://drive.google.com/file/d/1tXNJ-oSlV4ESLUonH6jfScEKX3_sAk5K/view
Current,Minutes,May 2021 ASA Minutes,ASA,2021-05-01,2021,Spanish,PDF,231,MSCA09 website,yes,docs/minutes/2021/may-2021-asa-minutes-es.pdf,https://drive.google.com/file/d/12A7u2iFzgVBi2vPLPTu9AqIlTIAvz2r4/view
Current,Minutes,Nov 2021 ASC Minutes,ASC,2021-11-01,2021,English,PDF,466,MSCA09 website,yes,docs/minutes/2021/nov-2021-asc-minutes-en.pdf,https://drive.google.com/file/d/1Hm2u3bLQhx86dxwlqFNUo5cpmAWHPlAA/view
Current,Minutes,Nov 2021 ASC Minutes,ASC,2021-11-01,2021,Spanish,PDF,416,MSCA09 website,yes,docs/minutes/2021/nov-2021-asc-minutes-es.pdf,https://drive.google.com/file/d/1J4NgnzFoKMclmDy2ZPO1OG33_YLiF-wg/view
Current,Minutes,Oct 2021 ASC Minutes,ASC,2021-10-01,2021,English,PDF,258,MSCA09 website,yes,docs/minutes/2021/oct-2021-asc-minutes-en.pdf,https://drive.google.com/file/d/1fjFa-NfehsxjjodLvYHXbkoYEOyxvSFm/view
Current,Minutes,Oct 2021 ASC Minutes,ASC,2021-10-01,2021,Spanish,PDF,155,MSCA09 website,yes,docs/minutes/2021/oct-2021-asc-minutes-es.pdf,https://drive.google.com/file/d/1pOJ1NlIdHvxNOfZvRBJoSaB7n-Eh1UMh/view
Current,Minutes,Sep 2021 ASA Minutes,ASA,2021-09-01,2021,English,PDF,401,MSCA09 website,yes,docs/minutes/2021/sep-2021-asa-minutes-en.pdf,https://drive.google.com/file/d/1zqDGZVJNpQpnnOFXbeDdqYIfLFXOOgmt/view
Current,Minutes,Sep 2021 ASA Minutes,ASA,2021-09-01,2021,Spanish,PDF,384,MSCA09 website,yes,docs/minutes/2021/sep-2021-asa-minutes-es.pdf,https://drive.google.com/file/d/1k-HAJOGStb2gqh539mSOp1oTqc3LxOB6/view
Current,Minutes,Aug 2022 ASC Minutes,ASC,2022-08-01,2022,English,PDF,340,MSCA09 website,yes,docs/minutes/2022/aug-2022-asc-minutes-en.pdf,https://drive.google.com/file/d/1FEK9tIkuIYUyv_CQH8VSn2lojjCN5eeX/view
Current,Minutes,Aug 2022 ASC Minutes,ASC,2022-08-01,2022,Spanish,PDF,370,MSCA09 website,yes,docs/minutes/2022/aug-2022-asc-minutes-es.pdf,https://drive.google.com/file/d/1Tx3OFW9xlV1p8QMVChRod9ZJ5c81e_Lv/view
Current,Minutes,Feb 2022 ASC Minutes,ASC,2022-02-01,2022,English,PDF,315,MSCA09 website,yes,docs/minutes/2022/feb-2022-asc-minutes-en.pdf,https://drive.google.com/file/d/1cQkiPxsif-sMUOSntaeX6JI3GTL2Trdb/view
Current,Minutes,Feb 2022 ASC Minutes,ASC,2022-02-01,2022,Spanish,PDF,514,MSCA09 website,yes,docs/minutes/2022/feb-2022-asc-minutes-es.pdf,https://drive.google.com/file/d/1L6buerNh7vezUzi9Yad743BbeuuYS1S-/view
Current,Minutes,Jan 2022 ASA Minutes,ASA,2022-01-01,2022,English,PDF,332,MSCA09 website,yes,docs/minutes/2022/jan-2022-asa-minutes-en.pdf,https://drive.google.com/file/d/1758_AtmavJx2zQNDnuovhnuJsFYMdYxh/view
Current,Minutes,Jan 2022 ASA Minutes,ASA,2022-01-01,2022,Spanish,PDF,325,MSCA09 website,yes,docs/minutes/2022/jan-2022-asa-minutes-es.pdf,https://drive.google.com/file/d/1KkiE4QRJ2h5jvKL2ha18Qhi_zw6ouwaE/view
Current,Minutes,June 2022 ASC Minutes,ASC,2022-06-01,2022,English,PDF,332,MSCA09 website,yes,docs/minutes/2022/june-2022-asc-minutes-en.pdf,https://drive.google.com/file/d/1Itc7cKS0Fe0_p2JYWKvQZHWL688yH-gJ/view
Current,Minutes,June 2022 ASC Minutes,ASC,2022-06-01,2022,Spanish,PDF,304,MSCA09 website,yes,docs/minutes/2022/june-2022-asc-minutes-es.pdf,https://drive.google.com/file/d/1819yBW8vX4sxFU6FaE19oJjPSVP6WTxz/view
Current,Minutes,Mar 2022 ASC Minutes,ASC,2022-03-01,2022,English,PDF,320,MSCA09 website,yes,docs/minutes/2022/mar-2022-asc-minutes-en.pdf,https://drive.google.com/file/d/1_LxYquUt8EA_JJD_8Iq6JWWkYOhkIRPb/view
Current,Minutes,May 2022 ASA Minutes,ASA,2022-05-01,2022,English,PDF,343,MSCA09 website,yes,docs/minutes/2022/may-2022-asa-minutes-en.pdf,https://drive.google.com/file/d/1AwoI5Jcx09aggvzXK6dm-87rhJbBLGkV/view
Current,Minutes,May 2022 ASA Minutes,ASA,2022-05-01,2022,Spanish,PDF,347,MSCA09 website,yes,docs/minutes/2022/may-2022-asa-minutes-es.pdf,https://drive.google.com/file/d/1dgs5eD2L4Jzrkn20FLLwH2xQ9mH0O1gt/view
Current,Minutes,Oct 2022 ASC Minutes,ASC,2022-10-01,2022,English,PDF,408,MSCA09 website,yes,docs/minutes/2022/oct-2022-asc-minutes-en.pdf,https://drive.google.com/file/d/1G87XQdDFnC8Y29Wg8I-FSjMNUO3AM4Fx/view
Current,Minutes,Oct 2022 ASC Minutes,ASC,2022-10-01,2022,Spanish,PDF,379,MSCA09 website,yes,docs/minutes/2022/oct-2022-asc-minutes-es.pdf,https://drive.google.com/file/d/1s9m1sHU4viBudZD9T0HWLiW1ehV42BWQ/view
Current,Minutes,Sept 2022 ASA Minutes,ASA,2022-09-01,2022,English,PDF,337,MSCA09 website,yes,docs/minutes/2022/sept-2022-asa-minutes-en.pdf,https://drive.google.com/file/d/1K5o0_46YoK0buoqOLOOKmg6EpW62EeSN/view
Current,Minutes,Sept 2022 ASA Minutes,ASA,2022-09-01,2022,Spanish,PDF,318,MSCA09 website,yes,docs/minutes/2022/sept-2022-asa-minutes-es.pdf,https://drive.google.com/file/d/1skkegPT_U5yqKYLz1gAgJz_ub4qNkSRP/view
Current,Minutes,Aug 2023 ASC Minutes,ASC,2023-08-01,2023,English,PDF,357,MSCA09 website,yes,docs/minutes/2023/aug-2023-asc-minutes-en.pdf,https://drive.google.com/file/d/11sVqMYgo6HSfNk--Bv0SBj1w-gW5oMLK/view
Current,Minutes,Aug 2023 ASC Minutes,ASC,2023-08-01,2023,Spanish,PDF,344,MSCA09 website,yes,docs/minutes/2023/aug-2023-asc-minutes-es.pdf,https://drive.google.com/file/d/1ErwhAAVyEdj04EzrNSmuZ2Tl38thTXQd/view
Current,Minutes,Feb 2023 ASC Minutes,ASC,2023-02-01,2023,English,PDF,313,MSCA09 website,yes,docs/minutes/2023/feb-2023-asc-minutes-en.pdf,https://drive.google.com/file/d/1Qs65qfnrjGuj_GfXmDcEA78DjynpUMm6/view
Current,Minutes,Feb 2023 ASC Minutes,ASC,2023-02-01,2023,Spanish,PDF,325,MSCA09 website,yes,docs/minutes/2023/feb-2023-asc-minutes-es.pdf,https://drive.google.com/file/d/1T0MEwJ4d6_wBpnzwTb4TY0BA8r18jd7p/view
Current,Minutes,Jan 2023 ASA Minutes,ASA,2023-01-01,2023,English,PDF,404,MSCA09 website,yes,docs/minutes/2023/jan-2023-asa-minutes-en.pdf,https://drive.google.com/file/d/1HgdiJ_Y_Od7K7RWsIrOwnlDoUWRnv6FM/view
Current,Minutes,Jan 2023 ASA Minutes,ASA,2023-01-01,2023,Spanish,PDF,383,MSCA09 website,yes,docs/minutes/2023/jan-2023-asa-minutes-es.pdf,https://drive.google.com/file/d/1YbHj8j7PX4g1WKLmtpwuzfk-aokjAVf_/view
Current,Minutes,Jun 2023 ASC Minutes,ASC,2023-06-01,2023,English,PDF,393,MSCA09 website,yes,docs/minutes/2023/jun-2023-asc-minutes-en.pdf,https://drive.google.com/file/d/1HbaCMhL5T7CfoY-VbS8Fn5nsJLGJ8-TY/view
Current,Minutes,Jun 2023 ASC Minutes,ASC,2023-06-01,2023,Spanish,PDF,463,MSCA09 website,yes,docs/minutes/2023/jun-2023-asc-minutes-es.pdf,https://drive.google.com/file/d/1ANSP38T8WHPBGWaA1KMSbvL4NOw_Nm4a/view
Current,Minutes,Mar 2023 ASC Minutes,ASC,2023-03-01,2023,English,PDF,341,MSCA09 website,yes,docs/minutes/2023/mar-2023-asc-minutes-en.pdf,https://drive.google.com/file/d/1DpMAyrKfqpGW0DiX7HFei0GSIrrr1oCH/view
Current,Minutes,Mar 2023 ASC Minutes,ASC,2023-03-01,2023,Spanish,PDF,347,MSCA09 website,yes,docs/minutes/2023/mar-2023-asc-minutes-es.pdf,https://drive.google.com/file/d/1KA4ZBy6Jt3Dfz4tp8IzioYbmFh8NdEEO/view
Current,Minutes,May 2023 ASA Minutes,ASA,2023-05-01,2023,English,PDF,326,MSCA09 website,yes,docs/minutes/2023/may-2023-asa-minutes-en.pdf,https://drive.google.com/file/d/1VRZ12Hf4vAyWqF7sTe3hdPM8qGpOBB4N/view
Current,Minutes,May 2023 ASA Minutes,ASA,2023-05-01,2023,Spanish,PDF,377,MSCA09 website,yes,docs/minutes/2023/may-2023-asa-minutes-es.pdf,https://drive.google.com/file/d/1eI82vdkPfxNzw_-erD7cUzmtybFbYZeh/view
