key,en,es
meetings.lead,"Districts, H&I committees, intergroups and central offices, and the Area’s own meetings. Filter by day, type, format or language. All times are Pacific.","Distritos, comités de H&I, intergrupos y oficinas centrales, y las reuniones del Área. Filtra por día, tipo, formato o idioma. Todas las horas son del Pacífico."
meetings.gcal_note,This is the Area’s live Google Calendar. Anything the web servant changes shows up here immediately.,Este es el calendario de Google del Área en vivo. Cualquier cambio que haga el servidor web aparece aquí de inmediato.
meetings.pattern_note,"The same grid as the printed flyer, generated straight from the calendar — so the two can never drift apart.","La misma cuadrícula del volante impreso, generada desde el calendario — así siempre coincide."
districts.kicker,Area 09 districts,Distritos del Área 09
districts.title,Find your district,Encuentra tu distrito
districts.lead,"A district is a cluster of nearby A.A. groups. Type your city and we will tell you which one is yours, when it meets, and who to write to.","Un distrito es un grupo de grupos de A.A. cercanos. Escribe tu ciudad y te diremos cuál es el tuyo, cuándo se reúne y a quién escribir."
districts.placeholder,"City, district number…","Ciudad, número de distrito…"
districts.none,"We could not find that city. Try a neighbouring city, or write to registrar@msca09aa.org.","No encontramos esa ciudad. Prueba con una ciudad vecina, o escribe a registrar@msca09aa.org."
committees.kicker,Area 09 service committees,Comités de servicio del Área 09
committees.title,The committees that|carry the message,Los comités que llevan|el mensaje
committees.lead,Every committee has one simple job: helping the alcoholic who still suffers find A.A. Every one of them needs servants — and every one of them started with somebody raising a hand.,Cada comité tiene un trabajo sencillo: que el alcohólico que todavía sufre encuentre A.A. Todos necesitan servidores — y todos empezaron con alguien que levantó la mano.
committees.serve_title,Want to be of service?,¿Quieres servir?
committees.serve_body,"The open positions above are waiting. Talk to your G.S.R. or your D.C.M.C., or write straight to the Area Chair.","Los puestos abiertos arriba están esperando. Habla con tu R.S.G. o tu M.C.D.C., o escribe directamente al Coordinador del Área."
committees.serve_cta,Write the Area Chair,Escribe al Coordinador
servants.kicker,Panel 76 · 2026–2027,Panel 76 · 2026–2027
servants.title,Panel 76|trusted servants,Servidores de confianza|del Panel 76
servants.lead,“Our leaders are but trusted servants; they do not govern.” These are the people serving Area 09 this panel — and the service addresses to reach them.,“Nuestros líderes son solamente servidores de confianza; no gobiernan.” Estas son las personas que sirven al Área 09 en este panel — y las direcciones de servicio para escribirles.
servants.placeholder,"Position, district, name…","Puesto, distrito, nombre…"
servants.group_area,Area officers,Oficiales del Área
servants.group_committee,Committee chairs,Coordinadores de comité
servants.group_district,Districts,Distritos
documents.kicker,The Area’s record,El registro del Área
documents.title,"The Area’s record,|from 2003 to today","El registro del Área,|de 2003 a hoy"
documents.lead,"Every minute, motion, agenda, newsletter and financial report the Area has published — including everything recovered from both previous websites. Each file is stored here, so nothing breaks when an old site is switched off.","Cada acta, moción, agenda, boletín e informe financiero que el Área ha publicado — incluido todo lo recuperado de los dos sitios anteriores. Cada archivo está alojado aquí, así que nada se rompe cuando se apaga un sitio antiguo."
documents.placeholder,"Search minutes, motions…","Buscar actas, mociones…"
documents.gap_note,Minutes are current through December 2024 and motions through August 2025. The Ad Hoc Website Committee flagged that gap; it is shown here rather than hidden.,Las actas llegan hasta diciembre de 2024 y las mociones hasta agosto de 2025. El Comité Ad Hoc señaló esa brecha; se muestra aquí en lugar de ocultarla.
events.kicker,Area 09 events,Eventos del Área 09
events.title,"Assemblies, workshops|and celebrations","Asambleas, talleres|y celebraciones"
events.lead,"The Area’s approved schedule for this panel, plus the events districts and committees have shared with us. Everyone is welcome.","El calendario aprobado del Área para este panel, más los eventos que los distritos y comités han compartido con nosotros. Todos son bienvenidos."
events.upcoming,Upcoming events,Próximos eventos
events.upcoming_sub,"Submitted by Area 09 districts, committees and groups.","Enviado por distritos, comités y grupos del Área 09."
events.past,Earlier this year,Anteriores este año
events.area_title,2026 Area calendar,Calendario del Área 2026
events.area_sub,"The Area Service Committee (ASC) meetings and Assemblies, as approved by the Area.","Las reuniones del Comité de Servicio de Área (CSA) y las Asambleas, aprobadas por el Área."
events.cta_title,Does your district have an event?,¿Tu distrito tiene un evento?
events.cta_body,"Send us the date, time, place and a service contact and we will post it. Flyers get turned into page text too, so they are searchable and readable on a phone.","Envíanos la fecha, la hora, el lugar y un contacto de servicio y lo publicamos. Los volantes se convierten en texto de la página para que se puedan buscar y leer en el teléfono."
events.cta_btn,Submit an event,Enviar un evento
contribute.kicker,Seventh Tradition,Séptima Tradición
contribute.title,Every group ought to be|fully self-supporting,Cada grupo debe|mantenerse a sí mismo
contribute.lead,“…declining outside contributions.” The amount is secondary to the spiritual connection that joins us in unity with A.A. groups around the world — but the Area does need it to carry the message.,“…negándose a recibir contribuciones de afuera.” El dinero es secundario frente a la conexión espiritual que nos une con los grupos de A.A. de todo el mundo — pero el Área necesita esa contribución para llevar el mensaje.
contribute.zelle_title,Online — Zelle,En línea — Zelle
contribute.zelle_sub,"The fastest way, straight from your bank.","La forma más rápida, directa desde tu banco."
contribute.zelle_biz_label,Business name,Nombre comercial
contribute.zelle_biz,Mid-Southern California Area Assembly of Alcoholics Anonymous,Mid-Southern California Area Assembly of Alcoholics Anonymous
contribute.zelle_mail_label,Account e-mail ID,ID de correo electrónico de la cuenta
contribute.zelle_mail,contributions@msca09aa.org,contributions@msca09aa.org
contribute.qr_title,Scan with your banking app,Escanea con la app de tu banco
contribute.qr_body,Or search “Mid-Southern California Area Assembly of Alcoholics Anonymous” in Zelle and use the e-mail above.,O busca “Mid-Southern California Area Assembly of Alcoholics Anonymous” en Zelle y usa el correo de arriba.
contribute.mail_title,"Check, money order or cash","Cheque, giro postal o efectivo"
contribute.mail_person,In person: handed directly to our Treasurer A/R during an Area meeting.,En persona: entregado directamente a nuestro Tesorero A/R durante una reunión de área.
contribute.mail_label,By mail,Por correo
contribute.mail_addr,"MSCA09|P.O. Box 51446|Irvine, CA 92619-1446","MSCA09|P.O. Box 51446|Irvine, CA 92619-1446"
contribute.mail_attn,Attn: Treasurer A/R,Atte. Tesorero A/R
contribute.include_title,Please include this information,Por favor incluye esta información
contribute.include_sub,Without it the Treasurer cannot credit the contribution to the right group or district.,"Sin ella, el Tesorero no puede acreditar la contribución al grupo o distrito correcto."
contribute.quote,The monetary amount of each contribution is secondary to the spiritual connection that joins us in unity with A.A. groups around the world.,La cantidad de cada contribución es secundaria frente a la conexión espiritual que nos une en unidad con los grupos de A.A. de todo el mundo.
contribute.quote_src,Service material from the General Service Office,Material de servicio de la Oficina de Servicios Generales
contribute.readmore,Read more on aa.org,Leer más en aa.org
contribute.limits,"A.A. does not accept contributions from anyone outside the Fellowship, and there is an annual limit on what an individual member may contribute. Area 09 is not a public charity and does not issue tax-deductible receipts.","A.A. no acepta contribuciones de personas ajenas a la Comunidad, y hay un límite anual a lo que un miembro puede contribuir. El Área 09 no es una organización benéfica pública y no emite recibos deducibles de impuestos."
contribute.flyer,Flyer EN / SP (PDF),Volante EN / SP (PDF)
newcomers.kicker,New to A.A.,Nuevo en A.A.
newcomers.title,"If you want to stop drinking,|you are in the right place","Si quieres dejar de beber,|estás en el lugar correcto"
newcomers.lead,"A.A. is a fellowship of people who share their experience, strength and hope with each other so they may solve their common problem and help others recover from alcoholism. Nobody will ask you for money, for your last name, or for any commitment.","A.A. es una comunidad de personas que comparten su experiencia, fortaleza y esperanza para resolver su problema común y ayudar a otros a recuperarse del alcoholismo. Nadie te va a pedir dinero, tu apellido, ni que te comprometas a nada."
newcomers.find_title,Find a meeting right now,Encuentra una reunión ahora
newcomers.find_body,"A.A. keeps an official meeting finder for the U.S. and Canada, and a free app. There are also online meetings at every hour of the day and night.","A.A. mantiene un buscador oficial para EE.UU. y Canadá, y una app gratuita. También hay reuniones en línea a toda hora del día y de la noche."
newcomers.offices_title,Central offices near you,Oficinas centrales cercanas
newcomers.offices_sub,Central offices and intergroups answer the phone and keep the local meeting lists.,Las oficinas centrales e intergrupos contestan el teléfono y mantienen las listas locales de reuniones.
newcomers.notdo_title,What A.A. does not do,Lo que A.A. no hace
newcomers.whatis,What is A.A.? — on aa.org,¿Qué es A.A.? — en aa.org
resources.kicker,A.A. resources,Recursos de A.A.
resources.title,Straight to the source,Directo a la fuente
resources.lead,"Rather than copying A.A. literature, we link to aa.org and A.A. Grapevine, where the current, Conference-approved version always lives.","En lugar de copiar la literatura de A.A., enlazamos con aa.org y con A.A. Grapevine, donde siempre está la versión actual y aprobada por la Conferencia."
resources.offices,Central offices & intergroups,Oficinas centrales e intergrupos
about.kicker,About Area 09,Sobre el Área 09
about.title,A service structure|turned upside down,Una estructura de servicio|al revés
about.lead,"In A.A., final authority rests with the group conscience. The Area exists to carry the group’s voice to the General Service Conference — and to bring back what is decided there.",En A.A. la autoridad final descansa en la conciencia de grupo. El Área existe para llevar la voz del grupo a la Conferencia de Servicios Generales — y traer de vuelta lo que allí se decide.
about.who_title,Who we are,¿Quiénes somos?
about.who_1,"Mid-Southern California Area 09 is one of 93 General Service Conference areas in the United States and Canada. We serve A.A. groups in Orange County, Riverside County, San Bernardino County and a portion of Los Angeles County.","El Área 09 del Medio-Sur de California es una de las 93 áreas de la Conferencia de Servicios Generales en Estados Unidos y Canadá. Servimos a los grupos de A.A. del condado de Orange, el condado de Riverside, el condado de San Bernardino y una parte del condado de Los Ángeles."
about.who_2,"The Area is made up of {districts} districts: English-speaking districts organised by geography, and Spanish-speaking districts that cover several of those same territories. Each group elects a G.S.R.; the G.S.R.s in a district elect a D.C.M.; districts elect a D.C.M.C.; and the Area elects its officers and a Delegate who carries our conscience to the Conference each April.","El Área está formada por {districts} distritos: distritos de habla inglesa organizados por geografía, y distritos de habla hispana que cubren varias de esas mismas zonas. Cada grupo elige un R.S.G.; los R.S.G. de un distrito eligen un M.C.D.; los distritos eligen un M.C.D.C.; y el Área elige a sus oficiales y a un Delegado que lleva nuestra conciencia a la Conferencia cada abril."
about.who_3,None of this is government. As the Second Tradition puts it: “For our group purpose there is but one ultimate authority — a loving God as He may express Himself in our group conscience. Our leaders are but trusted servants; they do not govern.”,Nada de esto es gobierno. Como dice la Segunda Tradición: “Para el propósito de nuestro grupo sólo existe una autoridad fundamental — un Dios amoroso tal como se exprese en la conciencia de nuestro grupo. Nuestros líderes no son más que servidores de confianza; no gobiernan.”
about.meets_title,How the Area meets,Cómo se reúne el Área
about.meets_1,"The Area meets once a month, alternating between the Area Service Committee (ASC) and the Area Service Assembly (ASA). A different district hosts each month, so the meetings travel around the four counties. Everyone is welcome — you do not need a service position to attend.","El Área se reúne una vez al mes, alternando entre el Comité de Servicio de Área (CSA) y la Asamblea de Servicio de Área (ASA). Un distrito diferente es anfitrión cada mes, así que las reuniones viajan por los cuatro condados. Todos son bienvenidos — no hace falta tener un puesto de servicio para asistir."
about.meets_link,See the 2026 Area calendar →,Ver el calendario del Área 2026 →
about.lang_title,"Two languages, one Area","Dos idiomas, una Área"
about.lang_1,"Area 09 serves in English and in Spanish. Spanish-speaking districts 20 through 25 cover the same ground as the English-speaking districts, and many Area committees have chairs in both languages. Minutes, motions and agendas are published in both languages.","El Área 09 sirve en inglés y en español. Los distritos hispanos 20 al 25 cubren el mismo territorio que los distritos de habla inglesa, y muchos comités del Área tienen coordinadores en ambos idiomas. Las actas, las mociones y las agendas se publican en los dos idiomas."
about.glance,At a glance,De un vistazo
about.preamble_title,The A.A. Preamble,El Preámbulo de A.A.
about.preamble_body,"Read at the start of nearly every A.A. meeting. It is published by A.A. Grapevine, and you can read it in full on aa.org.","Se lee al inicio de casi toda reunión de A.A. Lo publica A.A. Grapevine, y puedes leerlo completo en aa.org."
about.preamble_link,Read the Preamble,Leer el Preámbulo
about.service_title,New to service?,¿Nuevo en el servicio?
about.service_body,"The A.A. Service Manual explains every position, from G.S.R. to Delegate. It is free on aa.org.","El Manual de Servicio de A.A. explica cada puesto, desde R.S.G. hasta Delegado. Es gratis en aa.org."
about.service_cta,Service Manual,Manual de Servicio
anonymity.kicker,Website policy,Política del sitio web
anonymity.title,Anonymity is the spiritual|foundation of all|our Traditions,El anonimato es la base|espiritual de todas|nuestras Tradiciones
anonymity.lead,"The internet is press, radio and film all at once. The Eleventh Tradition asks us to maintain personal anonymity at that level — and this site is built to honour it by design, not by good intentions.","Internet es prensa, radio y cine a la vez. La Undécima Tradición nos pide mantener el anonimato personal en ese nivel — y este sitio está construido para cumplirlo por diseño, no por buena voluntad."
anonymity.report_title,If you see something that should not be here,Si ves algo que no debería estar
anonymity.report_body,"We get it wrong sometimes. If you find a last name, a personal e-mail, a phone number or a photograph that breaks somebody’s anonymity, write to us and it comes down — no debate, and no waiting for the next meeting.","Nos equivocamos. Si encuentras un apellido, un correo personal, un teléfono o una foto que rompe el anonimato de alguien, escríbenos y lo quitamos — sin discusión y sin esperar a la próxima reunión."
anonymity.report_cta,Report an anonymity problem,Reportar un problema de anonimato
anonymity.maint_title,How this site is maintained,Cómo se mantiene este sitio
anonymity.maint_1,"Everything that changes — trusted servants, districts, committees, documents, events — lives in plain CSV files in the site’s repository. Anyone with access can edit them in a browser; the site updates itself. There is no database, no plugins and no single point of failure.","Todo el contenido que cambia — servidores de confianza, distritos, comités, documentos, eventos — vive en archivos CSV sencillos en el repositorio del sitio. Cualquier persona con acceso puede editarlos en un navegador; el sitio se actualiza solo. No hay base de datos, no hay plugins y no hay un único punto de fallo."
anonymity.maint_2,"Every document and flyer is stored on this site, so nothing breaks when an old website is retired. The service meeting calendar is mirrored from the Area’s Google Calendar every few hours.","Cada documento y volante está alojado en este sitio, así que nada se rompe cuando se retira un sitio antiguo. El calendario de reuniones de servicio se copia del Google Calendar del Área cada pocas horas."
anonymity.quote,"Anonymity is the spiritual foundation of all our Traditions, ever reminding us to place principles before personalities.","El anonimato es la base espiritual de todas nuestras Tradiciones, recordándonos siempre anteponer los principios a las personalidades."
anonymity.quote_src,Tradition Twelve,Tradición Doce
anonymity.readmore,Read more on aa.org,Leer más en aa.org
contact.kicker,Get in touch,Contacto
contact.title,Write to us,Escríbenos
contact.lead,"Every Area service position has a role-based address. It reaches whoever holds that job today, and it keeps working when the panel turns over.","Cada puesto de servicio del Área tiene una dirección basada en el puesto. Va a quien tiene ese trabajo hoy, y sigue funcionando cuando el panel cambia."
contact.officers,Area officers — Panel 76,Oficiales del Área — Panel 76
contact.submit_title,Send us something to post,Enviar algo para publicar
contact.submit_sub,"An event, minutes, a motion, a change of trusted servant — this is how it gets on the page quickly.","Un evento, un acta, una moción, un cambio de servidor de confianza — así llega a la página rápido."
contact.post_title,By post,Por correo postal
contact.other_title,Other useful addresses,Otras direcciones útiles
contact.help_title,Need help with drinking?,¿Necesitas ayuda con la bebida?
contact.help_body,"This page is for service business. If you are looking for a meeting right now, start here.","Esta página es para asuntos de servicio. Si buscas una reunión ahora mismo, empieza aquí."
notfound.title,That page isn’t here,Esa página no existe
notfound.body,The link may be an old one. Try starting from the top — or tell us which link brought you here and we will fix it.,Puede que el enlace sea antiguo. Prueba desde el principio — o dinos qué enlace te trajo aquí y lo arreglamos.
notfound.report,Report the link,Reportar el enlace
note.anonymity,In keeping with our Eleventh and Twelfth Traditions this site publishes first names and last initials only. Contact always runs through a role-based service address — never a member’s personal e-mail or phone number.,"De acuerdo con nuestras Tradiciones Once y Doce, este sitio publica solo el nombre y la inicial del apellido. El contacto siempre se hace por una dirección de servicio — nunca el correo o teléfono personal de un miembro."
documents.archive_note,{n} documents were recovered from the Area’s previous websites and are kept here so the record is not lost when those sites go away. Some are scans of paper originals.,Se recuperaron {n} documentos de los sitios web anteriores del Área y se conservan aquí para que el registro no se pierda cuando esos sitios desaparezcan. Algunos son escaneos de originales en papel.
